	Date	Day	IMDB	Place	Rating	Time	Title
2873	2007/07/07	Sat		C1GA Cinema 1 General Admit	M	16:00	Radiance
2874	2007/07/07	Sat		C2GA Cinema 2 General Admit	M	16:45	Michael Cinimo's Heaven's Gate
2875	2007/07/07	Sat		C1GA Cinema 1 General Admit	M	19:00	Jesus Camp
2876	2007/07/07	Sat		C2GA Cinema 2 General Admit	18+	21:00	Merci Pour le Chocolat
2877	2007/07/08	Sun		C2GA Cinema 2 General Admit	G	10:30	Harry Potter and the Goblet of Fire
2878	2007/07/08	Sun		C2GA Cinema 2 General Admit	G	13:30	Harry Potter and the Goblet of Fire
2879	2007/07/08	Sun		C1GA Cinema 1 General Admit	18+	17:00	Saint-Cyr
2880	2007/07/08	Sun		C2GA Cinema 2 General Admit	M	17:30	Jesus Camp
2881	2007/07/08	Sun		C1GA Cinema 1 General Admit	M	19:15	8 Femmes
2882	2007/07/09	Mon		C2GA Cinema 2 General Admit	M	13:30	Dreamgirls
2883	2007/07/09	Mon		C2GA Cinema 2 General Admit	18+	19:00	The Promised Life
2884	2007/07/09	Mon		C2GA Cinema 2 General Admit	18+	20:45	Comedy of Innocence
2885	2007/07/10	Tue		C2GA Cinema 2 General Admit	G	11:00	Cars + One Man Band
2886	2007/07/10	Tue		C2GA Cinema 2 General Admit	G	13:30	Cars + One Man Band
2887	2007/07/10	Tue		C2GA Cinema 2 General Admit	M	19:00	The Ceremony
2888	2007/07/11	Wed		C1GA Cinema 1 General Admit	G	11:00	Monsters Inc. + For The Birds
2889	2007/07/11	Wed		C1GA Cinema 1 General Admit	G	13:30	Monsters Inc. + For The Birds
2890	2007/07/12	Thu		C2GA Cinema 2 General Admit	G	11:00	Toy Story + Tin Toy
2891	2007/07/12	Thu		C2GA Cinema 2 General Admit	G	13:30	Toy Story 2 + Luxu Jr.
2892	2007/07/12	Thu		C1GA Cinema 1 General Admit	18+	19:00	In the Shadows of the Light
2893	2007/07/13	Fri		C2GA Cinema 2 General Admit	G	11:00	Toy Story + Tin Toy
2894	2007/07/13	Fri		C2GA Cinema 2 General Admit	G	13:30	Toy Story 2 + Luxu Jr.
2895	2007/07/13	Fri		C1GA Cinema 1 General Admit	18+	19:00	Lost Lost Lost
2896	2007/07/13	Fri		C2GA Cinema 2 General Admit	PG	22:00	Point Blank
2897	2007/07/14	Sat		C2GA Cinema 2 General Admit	M	11:00	Sketches of Frank Gehry
2898	2007/07/14	Sat		C1GA Cinema 1 General Admit	M	16:00	The F.J. Holden
2899	2007/07/14	Sat		C1GA Cinema 1 General Admit	18+	19:00	In the Shadows of the Light
2900	2007/07/15	Sun		C2GA Cinema 2 General Admit	G	10:30	The Secret of Roan Inish
2901	2007/07/15	Sun		C2GA Cinema 2 General Admit	G	13:00	The Secret of Roan Inish
2902	2007/07/15	Sun		C1GA Cinema 1 General Admit	18+	17:30	Lost Lost Lost
